ID,MP Name,Nature of membership,Start of Term,End of Term,Number of terms,Constituency,State,Political party,Gender,Educational qualifications,Educational qualifications - details,Age,Debates,Private Member Bills,Questions,Attendance,Notes,National Debates average,National Private Member Bills average,National Questions average,National Attendance average,State's Debates average,State's Private Member Bills average,State Questions,State's Attendance average,,House
841638,Dayanidhi Maran,Elected,"Thursday, May 23, 2019",In office,Third Term,Chennai Central,Tamil Nadu,Dravida Munnetra Kazhagam,Male,Graduate,"B.A. (Economics); Educated at Loyola College, Chennai (Tamil Nadu)",53,7,0,11,77%,(Data corresponds to the period from 1 Jun 2019 to 13 Dec 2019.),12.3,0.3,33,86,13,0.2,34,84%,,Lok Sabha
841878,Dean Kuriakose,Elected,"Thursday, May 23, 2019",In office,First Term,Idukki,Kerala,Indian National Congress,Male,Information not available,Information Not Available,38,18,0,49,95%,(Data corresponds to the period from 1 Jun 2019 to 13 Dec 2019.),12.3,0.3,33,86,22.5,0.7,51,89%,,Lok Sabha
841879,Debasree Chaudhuri,Elected,"Thursday, May 23, 2019",In office,First Term,Raiganj,West Bengal,Bharatiya Janata Party,Female,Post Graduate,"M.A. Educated at Burdwan University, Burdwan, West Bengal",48,N/A,N/A,N/A,N/A,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (Data corresponds to the period from 1 Jun 2019 to 13 Dec 2019.)",N/A,N/A,N/A,,N/A,N/A,N/A,N/A,,Lok Sabha
841880,Deepak Baij,Elected,"Thursday, May 23, 2019",In office,First Term,Bastar,Chhattisgarh,Indian National Congress,Male,Information not available,Information Not Available,38,8,0,66,91%,(Data corresponds to the period from 1 Jun 2019 to 13 Dec 2019.),12.3,0.3,33,86,6.3,0,19,94%,,Lok Sabha
841757,Devendra Singh @ Bhole Singh,Elected,"Thursday, May 23, 2019",In office,Second Term,Akbarpur,Uttar Pradesh,Bharatiya Janata Party,Male,Matric,High School,65,8,0,0,93%,(Data corresponds to the period from 1 Jun 2019 to 13 Dec 2019.),12.3,0.3,33,86,13.9,0.3,22,90%,,Lok Sabha
841572,Devji Patel,Elected,"Thursday, May 23, 2019",In office,Third Term,Jalore,Rajasthan,Bharatiya Janata Party,Male,Matric,Matriculation,43,40,3,69,86%,(Data corresponds to the period from 1 Jun 2019 to 13 Dec 2019.),12.3,0.3,33,86,19.8,0.8,45,93%,,Lok Sabha
841881,Dhal Singh Bisen,Elected,"Thursday, May 23, 2019",In office,First Term,Balaghat,Madhya Pradesh,Bharatiya Janata Party,Male,Diploma Course,"A.V.M.S., D.H.B. (Ayurved Vigyanacharya with Modern Medicine and Surgery, Diploma in Trauma and Biochemistry) Educated at Chhattisgarh Ayurvedic College, Raipur, Chhattisgarh",67,13,0,11,100%,(Data corresponds to the period from 1 Jun 2019 to 13 Dec 2019.),12.3,0.3,33,86,11,0.2,23,90%,,Lok Sabha
841882,Dhanush M Kumar,Elected,"Thursday, May 23, 2019",In office,First Term,Tenkasi,Tamil Nadu,Dravida Munnetra Kazhagam,Male,Information not available,Information Not Available,44,3,0,61,100%,(Data corresponds to the period from 1 Jun 2019 to 13 Dec 2019.),12.3,0.3,33,86,13,0.2,34,84%,,Lok Sabha
841746,Dharambir,Elected,"Thursday, May 23, 2019",In office,Second Term,Bhiwani-Mahendragarh,Haryana,Bharatiya Janata Party,Male,Graduate,Graduate,64,7,0,43,96%,(Data corresponds to the period from 1 Jun 2019 to 13 Dec 2019.),12.3,0.3,33,86,6.4,0,21,94%,,Lok Sabha
841632,Dharmendra Kumar,Elected,"Thursday, May 23, 2019",In office,Second Term,Aonla,Uttar Pradesh,Bharatiya Janata Party,Male,Matric,High School,51,3,0,0,89%,(Data corresponds to the period from 1 Jun 2019 to 13 Dec 2019.),12.3,0.3,33,86,13.9,0.3,22,90%,,Lok Sabha
841580,Dibyendu Adhikari,Elected,"Thursday, May 23, 2019",In office,Second Term,Tamluk,West Bengal,All India Trinamool Congress,Male,Graduate,"B.A. (Hons.) 1998, Contai Pravat Kumar College, Vidyasagar University",37,1,0,40,53%,(Data corresponds to the period from 1 Jun 2019 to 13 Dec 2019.),12.3,0.3,33,86,11.7,0.2,20,81%,,Lok Sabha
