ID,MP Name,Nature of membership,Start of Term,End of Term,Number of terms,Constituency,State,Political party,Gender,Educational qualifications,Educational qualifications - details,Age,Debates,Private Member Bills,Questions,Attendance,Notes,National Debates average,National Private Member Bills average,National Questions average,National Attendance average,State's Debates average,State's Private Member Bills average,State Questions,State's Attendance average,,House
841853,Balashowry Vallabbhaneni,Elected,"Thursday, May 23, 2019",In office,Second Term,Machilipatnam,Andhra Pradesh,Yuvajana Sramika Rythu Congress Party,Male,Graduate,B.A.,51,1,0,62,84%,(Data corresponds to the period from 1 Jun 2019 to 13 Dec 2019.),12.3,0.3,33,86,10.5,0,29,85%,,Lok Sabha
841854,Balli Durga Prasad Rao,Elected,"Thursday, May 23, 2019",In office,First Term,Tirupati,Andhra Pradesh,Yuvajana Sramika Rythu Congress Party,Male,Graduate,"B.Com., B.L., Educated at S.V. University, Tirupathi, Andhra Pradesh",63,11,0,33,89%,(Data corresponds to the period from 1 Jun 2019 to 13 Dec 2019.),12.3,0.3,33,86,10.5,0,29,85%,,Lok Sabha
841855,Balubhau Dhannorkar,Elected,"Thursday, May 23, 2019",In office,First Term,Chandrapur,Maharashtra,Indian National Congress,Male,Information not available,Information Not Available,44,8,0,41,65%,(Data corresponds to the period from 1 Jun 2019 to 13 Dec 2019.),12.3,0.3,33,86,14,0.6,71,79%,,Lok Sabha
841856,Basanta Kumar Panda,Elected,"Thursday, May 23, 2019",In office,First Term,Kalahandi,Odisha,Bharatiya Janata Party,Male,Information not available,Information Not Available,58,7,0,12,91%,(Data corresponds to the period from 1 Jun 2019 to 13 Dec 2019.),12.3,0.3,33,86,12.1,0.2,23,87%,,Lok Sabha
841857,Beesetti Venkata Satyavathi,Elected,"Thursday, May 23, 2019",In office,First Term,Anakapalli,Andhra Pradesh,Yuvajana Sramika Rythu Congress Party,Female,Information not available,Information Not Available,53,20,0,4,98%,(Data corresponds to the period from 1 Jun 2019 to 13 Dec 2019.),12.3,0.3,33,86,10.5,0,29,85%,,Lok Sabha
841858,Bellana Chandra Sekhar,Elected,"Thursday, May 23, 2019",In office,First Term,Vizianagaram,Andhra Pradesh,Yuvajana Sramika Rythu Congress Party,Male,Graduate,"B.A., B.L., Educated at SDS College, Garividi and M.R. College, Vizianagaram",58,6,0,26,81%,(Data corresponds to the period from 1 Jun 2019 to 13 Dec 2019.),12.3,0.3,33,86,10.5,0,29,85%,,Lok Sabha
841859,Benny Behanan,Elected,"Thursday, May 23, 2019",In office,First Term,Chalakudy,Kerala,Indian National Congress,Male,Graduate,"B.Com., Educated at Sri Sankara College, Kalady, Ernamulam, Kerala",67,19,0,54,91%,(Data corresponds to the period from 1 Jun 2019 to 13 Dec 2019.),12.3,0.3,33,86,22.5,0.7,51,89%,,Lok Sabha
841860,Bhagirath Chaudhary,Elected,"Thursday, May 23, 2019",In office,First Term,Ajmer,Rajasthan,Bharatiya Janata Party,Male,Information not available,Information Not Available,65,24,0,16,100%,(Data corresponds to the period from 1 Jun 2019 to 13 Dec 2019.),12.3,0.3,33,86,19.8,0.8,45,93%,,Lok Sabha
841597,Bhagwant Mann,Elected,"Thursday, May 23, 2019",In office,Second Term,Sangrur,Punjab,Aam Aadmi Party,Male,Under Graduate,B.Com II Year,46,17,0,0,44%,(Data corresponds to the period from 1 Jun 2019 to 13 Dec 2019.),12.3,0.3,33,86,10.4,0,21,76%,,Lok Sabha
841637,Bhagwanth Khuba,Elected,"Thursday, May 23, 2019",In office,Second Term,Bidar,Karnataka,Bharatiya Janata Party,Male,Professional Graduate,BE (Mech.),52,2,0,51,75%,(Data corresponds to the period from 1 Jun 2019 to 13 Dec 2019.),12.3,0.3,33,86,5.1,0,37,78%,,Lok Sabha
841713,Bhanu Pratap Singh Verma,Elected,"Thursday, May 23, 2019",In office,Fifth Term,Jalaun,Uttar Pradesh,Bharatiya Janata Party,Male,Post Graduate,"M.A., L.L.B. Edcated at Bundelkhand University, Jhansi (Uttar Pradesh)",62,18,1,26,96%,(Data corresponds to the period from 1 Jun 2019 to 13 Dec 2019.),12.3,0.3,33,86,13.9,0.3,22,90%,,Lok Sabha
