Title,Date,Participants,Ref.Keywords
"Discussion on the motion for consideration of the Constituion (One Hundred and Twenty-Fourth Amendment) Bill, 2019, moved by Dr. Thaawarchand Gehlot. ",8/1/2019,"Chautala Shri Dushyant,Mann Shri Bhagwant,Dubey Shri Nishikant ,Pandey Dr. Mahendra Nath,Kushwaha Shri Upendra,Yadav Shri Dharmendra,Reddy Shri A.P. Jithender,Premachandran Shri N.K.,Rai Shri Prem Das,Kumar Shri Kaushalendra,Hooda Shri Deepender Singh,Mahtab Shri Bhartruhari,Thambi durai, Dr. M.,Chaudhury Shri Jitendra,Paswan Shri Ram Vilas,Owaisi Shri Asaduddin,Thomas Prof. Kuruppassery Varkey,Yadav Shri Hukmdev Narayan,Bandyopadhyay Shri Sudip,Basheer Shri E. T. Mohammed,Sule Smt. Supriya Sadanand,Patel Smt. Anupriya Singh,Ranjan (Pappu Yadav) Shri Rajesh,Adsul Shri Anandrao ,Chauhan Shri Nand Kumar Singh,Yadav Shri Jay Prakash Narayan,JAITLEY SHRI ARUN,GEHLOT SHRI THAAWAR CHAND,GEHLOT SHRI THAAWAR CHAND,,,","Castes,Economic Disparity,Educational Institutions,Employment Opportunities,Fundamental Rights,Higher Education,Indian Judicial Service,Mandal Commission,Muslims,Poor,Private Sector,Reservation Policy,Social Inequality,Social Justice,University Grants Commission,Welfare Schemes,Employment Generation,Unorganised Sector,Agricultural Land,Economic Backwardness,Reservation,Unemployed Youth"
"Motion regarding adoption of amendments made by Rajya Sabha in the National Council for Teacher Education (Amendment) Bill, 2018 (Motion adopted and the Amendment made by Rajya Sabha was agreed)",7/1/2019,Javadekar Shri Prakash,
"Motion regarding adoption of amendments made by Rajya Sabha in the Right of Children to Free and Complulsory Education (Amendment) Bill, 2018 (Motion was adopted and Amendment made by Rajya Sabha was agreed)",7/1/2019,Javadekar Shri Prakash,
"Motion for consideration of the Personal Laws (Amendment) Bill, 2018 (Motion adopted and Bill passed). ",7/1/2019,"Chaudhary Shri P.P.,Chaudhary Shri P.P.,Raut Shri Vinayak Bhaurao,Boianapalli Shri Vinod Kumar,Mahtab Shri Bhartruhari,Khan Shri Md. Badariddoza,Owaisi Shri Asaduddin,Banerjee Shri Kalyan","Disease Eradication,Divorce,Hindus,Leprosy,Marriage,Rehabilitation,Superstition,Medical Facilites,Awareness Programme"
"The motion for the consideration of Aadhaar and Other Laws (Amendment) Bill, 2018 (Motion adopted and Bill passed). ",4/1/2019,"Mishra Shri Bhairon Prasad,Satpathy Shri Tathagata,Tripathi Shri Sharad,PRASAD SHRI RAVI SHANKAR,PRASAD SHRI RAVI SHANKAR","Bank Services,Fundamental Rights,Medical Treatment,National Security,Poor,Privacy Protection,Supreme Court,Welfare Schemes,Disabled,Court Judgements,Penalty,Mobile Telephone Connections,Unique Identification Number(UIN),Government Schemes,Direct Benefit Transfer,Digital Transactions,Digital India,Data Protection"
"The Motion for the consideration of The New Delhi International Arbitration Centre Bill, 2018 (Motion adopted and Bill passed). ",4/1/2019,"Thakur Shri Anurag Singh,Kataria Shri Rattan Lal,PRASAD SHRI RAVI SHANKAR,PRASAD SHRI RAVI SHANKAR",Dispute Settlement
"Introduction of the Aadhaar and Other Laws (Amendment) Bill, 2018 (Bill Introduced).",2/1/2019,"Premachandran Shri N.K.,Roy Prof. Saugata,Tharoor Dr. Shashi,PRASAD SHRI RAVI SHANKAR,PRASAD SHRI RAVI SHANKAR","Banks,Money Bills,Privacy Protection,Money Laundering,Unique Identification Number(UIN),Direct Benefit Transfer Scheme,Data Protection"
"Introduction and passing of the Appropriation (No.6) Bill, 2018. ",31-12-2018,JAITLEY SHRI ARUN,
"Introduction of the Jallianwala Bagh National Memorial (Amendment) Bill, 2018. ",28-12-2018,Sharma Dr. Mahesh,
"Discussion on the motion for consideration of the Television Broacasting Companies (Regulation) Bill, 2015 (Bill Withdrawn). ",28-12-2018,"Mishra Shri Bhairon Prasad,Patel Shri Prahlad Singh,Patel Shri Prahlad Singh,Chandel Kunwar Pushpendra Singh,Rathore Col. Rajyavardhan Singh,Mahtab Shri Bhartruhari","Central Board Of Film Certification,Employees,Employment,Licencing Policy,Prasar Bharati,Press Council Of India,Provident Fund,Social Security,TV Channels,Salary,Multinational Companies,Journalism"
"Introduction of the Companies (Amendment) Bill, 2018. ",20-12-2018,JAITLEY SHRI ARUN,
"Further discussion on the motion for consideration of the Consumer Protection Bill, 2018, moved by Shri Ramvilas Paswan on the 19th December, 2018 (Discussion Concluded and Bill Passed). ",20-12-2018,"Patel Shri Prahlad Singh,Mondal Smt. Pratima,Shewale Shri Rahul Ramesh,Premachandran Shri N.K.,Kumar Shri Kaushalendra,Satpathy Shri Tathagata,Paswan Shri Ram Vilas,Paswan Shri Ram Vilas,Biju Shri Parayamparanbil Kuttappan,Basheer Shri E. T. Mohammed,George Shri (Adv.) Joice,Yadav Shri Jay Prakash Narayan,","Adulteration,Advertisements,Consumer Protection,Consumer Courts,Imprisonment,Pending Cases,Farmers' Welfare,Online Trading,E-Commerce,Multi Level Marketing,Fraudulent Practice,E-Market,e-Filling,Global Trade,Consumer Rights,Tele-Marketing"
"Motion for consideration of the National Trust for Welfare of Persons with Autism, Cerebral Palsy, Mental Retardation and Multiple Disabilities (Amendment) Bill, 2018 as passed by Rajya Sabha (Bill Passed). ",20-12-2018,"Sule Smt. Supriya Sadanand,GEHLOT SHRI THAAWAR CHAND","Mental Diseases,Mental Disorder,Divyang"
"The Motion for consideration of the Surrogacy (Regulation) Bill, 2016- (Bill Passed.). ",19-12-2018,"Gandhi Dr. Dharam Vira,Dubey Shri Nishikant ,Premachandran Shri N.K.,Goud Dr. Boora Narsaiah,Kumar Shri Kaushalendra,Mahtab Shri Bhartruhari,Mahtab Shri Bhartruhari,Mahtab Shri Bhartruhari,Dastidar Dr. (Smt.) Kakoli Ghosh,Sule Smt. Supriya Sadanand,Sule Smt. Supriya Sadanand,Yadav Shri Jay Prakash Narayan,NADDA SHRI JAGAT PRAKASH,NADDA SHRI JAGAT PRAKASH,NADDA SHRI JAGAT PRAKASH,NADDA SHRI JAGAT PRAKASH,NADDA SHRI JAGAT PRAKASH","Child Adoption,Citizenship,Exploitation,Law and Order,Women Welfare,Non-Resident Indians (NRIs),Commercialisation,Illegal Activities,Indian Culture,Transgender,Rules and Regulations,Infertility"
"Motion for the consideration of the Consumer Protection Bill, 2018. (Discussion not concluded)",19-12-2018,Paswan Shri Ram Vilas,"Advertisements,Dispute Settlement,Trade Policy,Consumer Rights"
"Introduction of the National Institute of Design (Amendment) Bill, 2018. ",18-12-2018,Chaudhary Shri C.R.,"Quality Education,Research and Development,National Design Policy"
"Introduction of Muslim Women (Protection of Rights on Marriage) Bill, 2018. ",17-12-2018,"Tharoor Dr. Shashi,PRASAD SHRI RAVI SHANKAR,PRASAD SHRI RAVI SHANKAR","Divorce,Women Welfare,Women's Rights,Triple Talaq"
"The Transgender Persons (Protection of Rights) Bill, 2016-Bill passed. ",17-12-2018,"Mahtab Shri Bhartruhari,Khan Shri Md. Badariddoza,Dastidar Dr. (Smt.) Kakoli Ghosh,Dastidar Dr. (Smt.) Kakoli Ghosh,Sule Smt. Supriya Sadanand,Tomar Shri Narendra Singh,Tharoor Dr. Shashi,Tharoor Dr. Shashi,GEHLOT SHRI THAAWAR CHAND,GEHLOT SHRI THAAWAR CHAND,GEHLOT SHRI THAAWAR CHAND","Fundamental Rights,Law and Order,Punishment,Sexual Harassment,Constitutional Rights,Reservation,Gender Discrimination,Sexual Abuse,Self- perceived gender identity"
"Introduction of the Indian Medical Council (Amendment) Bill, 2018. ",14-12-2018,NADDA SHRI JAGAT PRAKASH,"Medical Education,Quality Education,Medical Practice"
"Introduction of the Central Universities (Amendment) Bill, 2018. ",14-12-2018,Javadekar Shri Prakash,"Quality Education,Tribal Culture,Tribals,Tribal Welfare"
"Motion for leave to introduce the Dam Safety Bill, 2018 (Motion Adopted). ",12/12/2018,"Meghwal Shri Arjun Ram ,Meghwal Shri Arjun Ram ,Mahtab Shri Bhartruhari","Safety Measures,Dams"
"Introduction of the Personal Laws (Amendment) Bill, 2018. ",10/8/2018,Chaudhary Shri P.P.,
"Discussion on the motion for consideration of the Arbitration and Conciliation (Amendment) Bill, 2018 (Discussion Concluded and Bill Passed). ",10/8/2018,"Chaudhary Shri P.P.,Raajhaa Shri Anwhar,Shetty Shri Gopal Chinayya,Dev Km. Sushmita,Boianapalli Shri Vinod Kumar,Roy Prof. Saugata,Salim Shri Mohammad,Pandula Dr. Ravindra Babu ,Tripathi Shri Sharad,Sawant Shri Arvind Ganpat,PRASAD SHRI RAVI SHANKAR,","Arbitration,Dispute Settlement,Economic Development,Supreme Court,World Bank,Appointment,Pending Cases,Disputes,Indian Economy,Commercial Court,Institutional Arbitration,Arbitration Council of India"
"Introduction of the DNA Technology (Use and Application) Regulation Bill, 2018. ",9/8/2018,"Harsh Vardhan Dr. ,Harsh Vardhan Dr. ,Chowdhury Shri Adhir Ranjan","Offenders,Criminal Investigation,Evidence,Victims,Justice,DNA Databank"
