Title,Date,Participants,Ref.Keywords
"Discussion on the motion for consideration of the Prevention of Corruption (Amendment) Bill, 2018, as passed by the Rajya Sabha. ",24-07-2018,"Mann Shri Bhagwant,Chinnayan Shri S.Selvakumara,Mahajan Smt. Poonam ,Nishank Dr. Ramesh Pokhriyal,Chandumajra Shri Prem Singh,Reddy Shri A.P. Jithender,Premachandran Shri N.K.,Goud Dr. Boora Narsaiah,Kumar Shri Kaushalendra,Satpathy Shri Tathagata,Khan Shri Md. Badariddoza,Nimmala Shri Kristappa,Thomas Prof. Kuruppassery Varkey,Basheer Shri E. T. Mohammed,Poddar Smt. Aparupa,Joshi Shri Pralhad Venkatesh,Kothapalli Smt. Geetha,Ranjan (Pappu Yadav) Shri Rajesh,Muniyappa Shri K.H.,Sawant Shri Arvind Ganpat,Kushwaha Shri Ram Kumar Sharma,Singh Shri Jitendra,Singh Shri Jitendra,Chowdhury Shri Adhir Ranjan,Singh Shri Parvesh Sahib","Banking Systems,Electoral Reforms,Law Commission,Law Enforcement,Loans,Subsidies,Transparency,Prosecution,Corruption,Appointment,Non-Performing Assets,Scams,Imprisonment,Enquiry,Punishments,Goods and Services Tax (GST),Bribe,Red Tapism,Enforcement Directorate,Direct Benefit Transfer,Fraudulent Practice,Demonetisation,Digital India"
"Motion to withdral the of National Sports University Bill, 2017 (Motion adopted, Bill withdrawn).",23-07-2018,Rathore Col. Rajyavardhan Singh,"Manipur,Sports Facilities,Sports Promotion,Sports Development"
"Motion to withdraw the Micro, Small and Medium Enterprises Development (Amendment) Bill, 2015 . (Motion adopted, Bill withdrawn).",23-07-2018,Singh Shri Giriraj,
"Introduction of the National Sports University Bill, 2018. ",23-07-2018,Rathore Col. Rajyavardhan Singh,"Manipur,Sports Centres,Sports Promotion,Training Centres,Infrastructure Facilities,Sports Development,Training facilities"
"Introduction of the Micro, Small and Medium Entreprises Development (Amendment) Bill, 2018. ",23-07-2018,"Singh Shri Giriraj,Mahtab Shri Bhartruhari","Small Enterprises,Small Scale Industries"
"Introduction of the Homoeopathy Central Council (Amendment) Bill, 2018. ",23-07-2018,Naik Shri Shripad Yesso,"Higher Education Institutions,Quality Education,Homoeopathy Education"
"Introduction of the Insolvency and Bankruptcy Code (Second Amendment) Bill, 2018. ",23-07-2018,"Mahtab Shri Bhartruhari,GOYAL SHRI PIYUSH,GOYAL SHRI PIYUSH","Bank Frauds,Banks,Punishment,Defaulters,Non-Performing Assets,Loan Recovery"
"Introduction of the Criminal Law (Amendment) Bill, 2018. ",23-07-2018,Rijiju Shri Kiren,"Law and Order,Punishment,Rape,Imprisonment,Justice,Death Penalty,Human Trafficking,Sexual Assualt"
"Introduction of the Commercial Courts, Commercial Division and Commercial Appellate Division of High Courts (Amendment) Bill, 2018. ",23-07-2018,PRASAD SHRI RAVI SHANKAR,"Law Commission,Court Judgements,Investors,Pending Cases,High Court,Commercial Issues,Court Cases"
"Motion for consideraton of the Negotiable Instruments (Amendment) Bill, 2017 (Bill Passed). ",23-07-2018,"Mishra Shri Bhairon Prasad,Reddy Shri Konda Vishweshwar,Roy Prof. Saugata,Singh Dr. Prabhas Kumar,Udasi Shri Shivkumar Chanabasappa,Singh Shri Ganesh,Sampath Shri Anirudhan,Sampath Shri Anirudhan,Sampath Shri Anirudhan,Banerjee Shri Kalyan,S.R. Shri Vijay Kumar,Pandula Dr. Ravindra Babu ,Tripathi Shri Sharad,Adsul Shri Anandrao ,Tharoor Dr. Shashi,Tharoor Dr. Shashi,,,,","Bank Charges,Compensation,Punishment,Infrastructure Facilities,Penalty,Courts,Pending Cases,Cheques,Fraudulant Practices,Justice,Fast Track Court"
"Motion for consideration of the National Council for Teacher Education (Amendment) Bill, 2017 (Bill passed). ",23-07-2018,"Chautala Shri Dushyant,Patel Shri Prahlad Singh,Dwivedi Shri Harish,Naik Prof. Seetaram Ajmeera,Udhayakumar Shri M.,Raut Shri Vinayak Bhaurao,Chandumajra Shri Prem Singh,Roy Prof. Saugata,Samal Dr. Kulamani,Kumar Shri Kaushalendra,Hooda Shri Deepender Singh,Thambi durai, Dr. M.,Biju Shri Parayamparanbil Kuttappan,Basheer Shri E. T. Mohammed,Sule Smt. Supriya Sadanand,Pandula Dr. Ravindra Babu ,Muniyappa Shri K.H.,Kashyap Shri Virender,Yadav Shri Jay Prakash Narayan,Javadekar Shri Prakash,Javadekar Shri Prakash,Javadekar Shri Prakash","Compulsory Education,Educational Development,Educational Institutions,Educational Standard,Physical Education,Private Schools,Quality Education,Recognition,Right to Education,Special Schools,Teacher Recruitment,Teacher Training,Teacher-student Ratio,University Grants Commission,Infrastructure Facilities,Appointment,Educational Qualification,Privatisation,Equality,School Curriculum,National Council for Educational Research and Training (NCERT),Girl Education,Digitisation"
"Introduction of the Trafficking of Persons (Prevention, Protection and Rehabilitation) Bill, 2018. ",18-07-2018,Gandhi Smt. Maneka Sanjay,"Rehabilitation,Sexual Harassment,Human Trafficking"
"Introduction of the Banning of Unregulated Deposit Schemes Bill, 2018. ",18-07-2018,"Roy Prof. Saugata,Radhakrishnan Shri Pon,Radhakrishnan Shri Pon","Bank Frauds,Chit Fund Companies,Non-banking Companies,Punishment,Transparency,Scams,Fraudulent Practice"
"Introduction of the Airports Economic Regulatory Authority of India (Amendment) Bill, 2018. ",18-07-2018,Sinha Shri Jayant,"Quality Standards,Tariffs,Infrastructure Development,Tribunal,Disputes"
"Introduction of the Arbitration And Conciliation (Amendment) Bill, 2018. ",18-07-2018,Chaudhary Shri P.P.,"Arbitration,Dispute Settlement,Appointment"
"Discussion on the Right of Children to Free and Compulsory Education (Second Amendment) Bill, 2017 - Bill passed",18-07-2018,"Chautala Shri Dushyant,Mishra Shri Bhairon Prasad,Jaiswal Dr. Sanjay,Mann Shri Bhagwant,Rajoria Dr. Manoj,Chandumajra Shri Prem Singh,Venugopal Shri K. C.,Venugopal Shri K. C.,Venugopal Shri K. C.,Reddy Shri A.P. Jithender,Premachandran Shri N.K.,Roy Prof. Saugata,Rai Shri Prem Das,Kumar Shri Kaushalendra,Angadi Shri Suresh Chanabasappa,Mahtab Shri Bhartruhari,Khan Shri Md. Badariddoza,Thomas Prof. Kuruppassery Varkey,Basheer Shri E. T. Mohammed,Sule Smt. Supriya Sadanand,Chinnaraj Shri Gopalakrishnan,Sahu Shri Lakhan Lal,Sawant Shri Arvind Ganpat,Saraswati Shri Sumedhanand,Kushwaha Shri Ram Kumar Sharma,Yadav Shri Jay Prakash Narayan,Javadekar Shri Prakash,Javadekar Shri Prakash,Javadekar Shri Prakash,Javadekar Shri Prakash,Javadekar Shri Prakash,","Compulsory Education,Educational Reforms,Educational Systems,Elementary Education,Examination Reforms,Fund Allocation,Mid-Day-Meals,Poor,Primary Education,Private Schools,Quality Education,Right to Education,Rural Schools,Sanskrit Language,Teacher Recruitment,Teacher Training,Teacher-student Ratio,Teachers,University Grants Commission,Infrastructure Facilities,Tribals,Educational Qualification,Curriculum,Performance Evaluation,Education Policy,Child Education,Sarva Shiksha Abhiyan,Mother Language,Coaching Institutes,DETENTION"
"The Payment of Gratuity (Amendment) Bill, 2017- Bill passed. ",15-03-2018,"Gangwar Shri Santosh Kumar,Ananth Kumar Shri ",Wages
"Specific Relief (Amendment) Bill, 2017 (Bill Passed). ",15-03-2018,Chaudhary Shri P.P.,"Cases,Dispute Settlement,Special Courts,Contracts"
"Introduction and passing of the Appropriation (No. 2) Bill, 2018. ",14-03-2018,JAITLEY SHRI ARUN,
"Introduction and Passing of the Finance Bill, 2018. ",14-03-2018,JAITLEY SHRI ARUN,
"Introduction and passing of the Appropriation (N0. 3) Bill, 2018. ",14-03-2018,JAITLEY SHRI ARUN,
"Introduction of Chit Funds (Amendment) Bill, 2018",12/3/2018,0,Fraudulent Practice
"Introduction of the Fugitive Economic Offenders Bill, 2018. ",12/3/2018,"Mahtab Shri Bhartruhari,,","Defaulters,Justice,Law Enactment"
"Introduction of the Finance Bil, 2018",1/2/2018,JAITLEY SHRI ARUN,"Income Tax,Tax Assessment,Tax Deduction"
"Withdrawal of the Consumer Protection Bill, 2015. ",5/1/2018,Paswan Shri Ram Vilas,
"Introduction of the Consumer Protection Bill, 2018. ",5/1/2018,Paswan Shri Ram Vilas,"Disputes,Punishments,E-Commerce"
"Introduction of the New Delhi International Arbitration Centre Bill, 2018. ",5/1/2018,Chaudhary Shri P.P.,
"Discussion on the motion for consideration of amendment made by Rajya Sabha in National Bank For Agriculture And Rural Development (Amendment) Bill, 2017 (motion adopted)",4/1/2018,Chaudhary Shri P.P.,"Agricultural Development,Handicrafts,Rural Development,Small Scale Industries,Reserve Bank of India (RBI)"
"Discussion on motion to consider the amendment made by Rajya Sabha in Insolvency and Bankruptcy Code (Amendment) Bill, 2017 (motion adopted)",4/1/2018,Chaudhary Shri P.P.,"Loans,Recovery,Liquidation"
"Further discussion on the motion for consideration of the High Court And the Supreme Court Judges (Salaries And Conditions Of Service) Amendment Bill, 2017 (Bill passed)",4/1/2018,"Chautala Shri Dushyant,Udhayakumar Shri M.,Velagapalli Dr. Vara Prasadarao,Shetty Shri Gopal Chinayya,Agrawal Shri Rajendra,Yadav Shri Dharmendra,Raut Shri Vinayak Bhaurao,Reddy Shri A.P. Jithender,Premachandran Shri N.K.,Reddy Shri Konda Vishweshwar,Kumar Shri Kaushalendra,Satpathy Shri Tathagata,Ananth Kumar Shri ,Kharge Shri Mallikarjun ,Kharge Shri Mallikarjun ,Thambi durai, Dr. M.,Thambi durai, Dr. M.,Antony Shri Anto ,Sampath Shri Anirudhan,Sampath Shri Anirudhan,Sampath Shri Anirudhan,Sampath Shri Anirudhan,Salim Shri Mohammad,Banerjee Shri Kalyan,Banerjee Shri Kalyan,Banerjee Shri Kalyan,Banerjee Shri Kalyan,Pandula Dr. Ravindra Babu ,Singh Shri Raj Kumar,Ranjan (Pappu Yadav) Shri Rajesh,Kataria Shri Rattan Lal,Yadav Shri Jay Prakash Narayan,PRASAD SHRI RAVI SHANKAR,PRASAD SHRI RAVI SHANKAR,PRASAD SHRI RAVI SHANKAR","Dearness Allowance(DA),Fund Allocation,Judges,Pay Commission,Pension,Recruitment,Right to Information,Training Courses,Infrastructure Facilities,Legal Practice,Court Benches,Judicial System,Courts,Other Backward Classes (OBCs),Pending Cases,Reservation,Scheduled Castes and Scheduled Tribes,Women's Reservation,Retirement Age,salaries,Collegium System,Court Cases,National Judicial Appointment Commission "
"Introduction and passing of the Appropriation Bill, 2018",4/1/2018,"Ering Shri Ninong,JAITLEY SHRI ARUN",
Discussion on the Amendments made by Rajya Sabha to Goverment Bill-under consideration,3/1/2018,"Sumitra Mahajan (Tai) ,Satav Shri Rajeev Shankarrao,Mahtab Shri Bhartruhari,Singh Shri Ganesh,Banerjee Shri Kalyan,GEHLOT SHRI THAAWAR CHAND","Backward Classes,Economic and Social Development,Minorities Commission,Muslims,Religious Minorities,Scholarships,Other Backward Classes (OBCs),Women Empowerment"
"Introduction of the Negotiable Instruments (Amendment) Bill, 2017. ",2/1/2018,0,
"Deferment of National Medical Commission Bill, 2017. ",2/1/2018,"Sumitra Mahajan (Tai) ,Ananth Kumar Shri ",Medical Council of India
"Discussion on the motion for consideration of the Ancient Monuments and Archaeological Sites and Remains (Amendment) Bill, 2017. ",2/1/2018,"Chautala Shri Dushyant,Tiwari Shri Manoj Kumar,Patel Shri Prahlad Singh,Chandrakasi Shri M.,Naik Prof. Seetaram Ajmeera,Kirtikar Shri Gajanan Chandrakant,Velagapalli Dr. Vara Prasadarao,Meena Shri Harish Chandra,Sharma Dr. Mahesh,Sharma Dr. Mahesh,Mahadik Shri Dhananjay Bhimrao,Shrirang Shri Chandu Barne,Thota Shri Narasimham,Premachandran Shri N.K.,Goud Dr. Boora Narsaiah,Ghubaya Shri Sher Singh,Rai Shri Prem Das,Kumar Shri Kaushalendra,Singh Dr. Prabhas Kumar,Singh Shri Ganesh,Sampath Shri Anirudhan,Banerjee Shri Kalyan,Basheer Shri E. T. Mohammed,Gandhi Shri Dilip Kumar Mansukhlal,Jayadevan Shri C. N.,Ranjan (Pappu Yadav) Shri Rajesh,Sharma Shri Jugal Kishore,Chauhan Shri Nihal Chand,Tharoor Dr. Shashi,Yadav Shri Jay Prakash Narayan,Chowdhury Shri Adhir Ranjan","Archaeological Sites,Archaeological Survey of India (ASI),Archaeology,Environmental Protection,Fund Allocation,Monuments,Rehabilitation,Safety Measures,Tourism,UNESCO,Encroachment,Preservation of Cultural Heritage,Protected Monuments,National Monuments,Heritage Development,World Heritage"
The Minister of Finance; and Minister of Corporate Affairs made a statement on introduction of the Scheme of Electoral Bonds. ,2/1/2018,JAITLEY SHRI ARUN,"Bank Accounts,Donations,Election Commission,Political Parties,State Bank Of India,Political Funding"
"Discussion on the motion for consideration of the High Court and Supreme Court Judges (Salaries and Conditions of Service) Amendment Bill, 2017 (Discussion not concluded). ",2/1/2018,"Thomas Prof. Kuruppassery Varkey,PRASAD SHRI RAVI SHANKAR","Judges,Judiciary,Pension,Retirement,Appointment,Judicial System,Allowances,Salary,High Court"
"Introduction of the National Medical Commission Bill, 2017. ",29-12-2017,NADDA SHRI JAGAT PRAKASH,"Medical Education,Medical Institutions"
"Introduction of the Muslim Women (Protection of Rights on Marriage) Bill, 2017.",28-12-2017,"Raajhaa Shri Anwhar,Mahtab Shri Bhartruhari,Owaisi Shri Asaduddin,Basheer Shri E. T. Mohammed,Yadav Shri Jay Prakash Narayan,PRASAD SHRI RAVI SHANKAR,PRASAD SHRI RAVI SHANKAR","Divorce,Fundamental Rights,Muslims,Personal Law,Women's Rights,Allowances,Women Empowerment,Punishments,Right to Equality"
"Introduction of the Insolvency and Bankruptcy Code (Amendment) Bill, 2017.",28-12-2017,JAITLEY SHRI ARUN,
"Discussion on the Motion for consideration of the Muslim Women (Protection of Rights on Marriage) Bill, 2017 (Discussion Concluded and Bill Passed).",28-12-2017,"Chautala Shri Dushyant,Kumar Dr. Arun,Raajhaa Shri Anwhar,Velagapalli Dr. Vara Prasadarao,Yadav Shri Dharmendra,Chandumajra Shri Prem Singh,Dev Km. Sushmita,Shanavas Shri M. I.,Premachandran Shri N.K.,Premachandran Shri N.K.,Biswas Shri Radheshyam,Kumar Shri Kaushalendra,Satpathy Shri Tathagata,Kharge Shri Mallikarjun ,Owaisi Shri Asaduddin,Sampath Shri Anirudhan,Basheer Shri E. T. Mohammed,Sule Smt. Supriya Sadanand,Pandula Dr. Ravindra Babu ,Ranjan (Pappu Yadav) Shri Rajesh,Sawant Shri Arvind Ganpat,Lekhi Smt. Meenakashi,Yadav Shri Jay Prakash Narayan,PRASAD SHRI RAVI SHANKAR,PRASAD SHRI RAVI SHANKAR,","Divorce,Education,Fundamental Rights,Human Rights,Marriage,Maternal Mortality,Minorities,Muslims,Personal Law,Social Evils,Social Reform,Supreme Court,Women's Rights,Non-Governmental Organisations (NGO),Imprisonment,Women Empowerment,Gender Discrimination,Uniform Civil Code,Punishments,Welfare Measures,Triple Talaq,Subsistence Allowance"
"Discussion on the motion for consideration of National Capital Territory of Delhi Laws (Special Provisions) Second (Amendment) Bill, 2017 (Discussion concluded and Bill passed). ",27-12-2017,"Chautala Shri Dushyant,Roy Prof. Saugata,Pradhan Shri Nagendra Kumar,Kumar Shri Kaushalendra,Salim Shri Mohammad,Bidhuri Shri Ramesh,Lekhi Smt. Meenakashi,Yadav Shri Jay Prakash Narayan,Singh Shri Parvesh Sahib,,","Black Money,Godowns,Land Aacquisition,Market,Master Plans,Slum Dwellers,Unauthorised Construction,Vendors,Warehouses,Demolition,Infrastructure Development,Agricultural Land,Delhi Development Authority (DDA),Basic Amenities,Road Development Plans,Traffic Congestion,Sealing"
"Introduction of the Specific Relief (Amendment) Bill, 2017. ",22-12-2017,Chaudhary Shri P.P.,
"Introduction of the  Goods and Services Tax (Compensation to  States) Amendment Bill, 2017. ",22-12-2017,JAITLEY SHRI ARUN,
"Introduction of the National Capital Territory of Delhi Laws (Special Provisions) Second (Amendment) Bill, 2017. ",22-12-2017,0,
"Introduction of the High Court and Supreme Court Judges (Salaries and Conditions of Service) Amendment Bill, 2017",21-12-2017,PRASAD SHRI RAVI SHANKAR,"Benefit Plans,Judicial Services,Allowances"
"Introduction and passing of Appropriation (No. 5) Bill, 2016",21-12-2017,JAITLEY SHRI ARUN,
"Further discussion on the motion for consideration of the Requistioning and Acquistion of Immovable Property (Amendment) Bill, 2017, moved by Shri Hardeep Puri on 19 December, 2017 (Discussion Concluded and Bill Passed). ",20-12-2017,"Udhayakumar Shri M.,Velagapalli Dr. Vara Prasadarao,Shetty Shri Gopal Chinayya,Shinde Dr. Shrikant Eknath,Shrirang Shri Chandu Barne,Reddy Shri A.P. Jithender,Premachandran Shri N.K.,Samal Dr. Kulamani,Kumar Shri Kaushalendra,Ananth Kumar Shri ,Salim Shri Mohammad,Banerjee Shri Kalyan,Bidhuri Shri Ramesh,Pandula Dr. Ravindra Babu ,","Defence,Fundamental Rights,Housing Needs,Land Acquisition,Land Development,Land Utilization,Litigation,Municipal Corporations,National Security,Poor,Wakf Property,Compensations,Scheduled Tribes (STs),Poverty Alleviation,Pending Cases,Public Private Partnership (PPP),Defence Land,Land Pooling ,Right to Property"
"Combined discussion on the Repealing and Amending Bill, 2017 and Repealing and Amending (Second) Bill, 2017 (Discussion Concluded and Bill Passed). ",19-12-2017,"Raut Shri Vinayak Bhaurao,Banerjee Shri Kalyan,Misra Shri Pinaki,Pandula Dr. Ravindra Babu ,Lekhi Smt. Meenakashi,Sawaikar Shri Advocate Narendra Keshav,PRASAD SHRI RAVI SHANKAR,PRASAD SHRI RAVI SHANKAR","Act Repealment,Central Bureau of Investigation(CBI) ,Supreme Court,Judicial System,Article 370,Uniform Civil Code,High Court,Online Services,Wi-Fi Facilities"
"Discussion on the motion for consideration of the Central Road Fund (Amendment) Bill, 2017 (Discussion Concluded and Bill Passed). ",19-12-2017,"Chautala Shri Dushyant,Dwivedi Shri Harish,Kirtikar Shri Gajanan Chandrakant,Velagapalli Dr. Vara Prasadarao,Shinde Dr. Shrikant Eknath,Yadav Shri Dharmendra,Rudy Shri Rajiv Pratap,Chandumajra Shri Prem Singh,Reddy Shri Konda Vishweshwar,Ajmal Shri Sirajuddin,Jena Shri Rabindra Kumar,Roy Prof. Saugata,Kumar Shri Kaushalendra,Reddy Shri Mekapati Rajamohan,Biju Shri Parayamparanbil Kuttappan,Gadkari Shri Nitin Jairam,Gadkari Shri Nitin Jairam,Ali Shri Idris,Ranjan (Pappu Yadav) Shri Rajesh,Kesineni Shri Srinivas,Sawant Shri Arvind Ganpat,Birla Shri Om,Tasa Shri Kamakhya Prasad,Ray Shri Bishnu Pada,Yadav Shri Jay Prakash Narayan","Drinking Water,Environmental Protection,Fund Allocation,Gross Domestic Product,Inland Water Transport,Inland Waterways,Irrigation Development,Medical Facilities,National Highways,National Security,Road Construction,Safety Measures,Sea Erosion,Tourism Development,Tourism Promotion,Training Programmes,Transportation,Water Disputes,Water Management,Water Pollution,Fund Utilization,River Embankments,Desiltation,Prime Minister Gram Sadak Yojana (PMGSY),Railway Over Bridge,Inter-linking of rivers,Special Economic Zones,Environmental Clearance,National Waterways"
"Discussion on the motion for consideration of the Requisitioning and Acquisition of Immovable Property (Amendment) Bill, 2017 (Discussion not concluded). ",19-12-2017,"Bidhuri Shri Ramesh,","Black Money,Land Acquisition,Land Reforms,Land Use,National Security,Compensations"
"Introduction of the National Council for Teacher Education (Amendment) Bill, 2017. ",18-12-2017,Javadekar Shri Prakash,"Educational Standard,Teachers"
"Introduction of Payment of Gratuity (Amendment) Bill, 2017",18-12-2017,Gangwar Shri Santosh Kumar,"Employees,Workers"
"Introduction of Dentists (Amendment) Bill, 2017",18-12-2017,NADDA SHRI JAGAT PRAKASH,National Eligibility cum Entrance Test (NEET)
"Introduction of Indian Forests (Amendment) Bill, 2017",18-12-2017,"Harsh Vardhan Dr. ,Harsh Vardhan Dr. ,Mahtab Shri Bhartruhari","Transit,Farmers' Welfare,Rapid Transit System,Bamboo"
"Introduction of Representation of the People (Amendment) Bill, 2017. ",18-12-2017,PRASAD SHRI RAVI SHANKAR,"Delimitation of Constituencies,Delimitation Commission"
"Introduction of the Right of Children to Free and Compulsory Education (Second Amendment) Bill, 2017. ",11/8/2017,Kushwaha Shri Upendra,"Elementary Education,Free Education"
"Introduction of the Repealing and Amending (Second) Bill, 2017. ",11/8/2017,PRASAD SHRI RAVI SHANKAR,
"Introduction of the National Sports University Bill, 2017. ",10/8/2017,Ahluwalia Shri S.S.,
"State Banks (Repeal And Amendment) Bill,2017. ",10/8/2017,"Chautala Shri Dushyant,Gangwar Shri Santosh Kumar,Gangwar Shri Santosh Kumar,Mann Shri Bhagwant,Gandhi Dr. Dharam Vira,Kumar Dr. Arun,Teacher Smt. P.K.Sreemathi,Chandumajra Shri Prem Singh,Gogoi Shri Gaurav,Muddahanumegowda Shri S.P.,Premachandran Shri N.K.,Goud Dr. Boora Narsaiah,Mani Shri Jose K.,Roy Prof. Saugata,Kumar Shri Kaushalendra,Satpathy Shri Tathagata,Udasi Shri Shivkumar Chanabasappa,Basheer Shri E. T. Mohammed,Jayadevan Shri C. N.,Chinnaraj Shri Gopalakrishnan,Pandula Dr. Ravindra Babu ,Butta Smt. Renuka,George Shri (Adv.) Joice,Adsul Shri Anandrao ,Singh Shri Abhishek,Chowdhury Shri Adhir Ranjan","Bank Rate,Banking,Banks,Economic Recession,Financial Loss,Foreign Exchange,Interest Rate,Rural Banks,Computerisation,Defaulters,Public Sector Undertakings,Non-Performing Assets,Privatization,Commercialisation,Cooperative Banks,Loan Recovery,Debt Payment,Farmers' Welfare,Nationalized Bank,Subsidiary Banks,Private Banks,Demonetisation,Digital Transactions"
"Introduction of the Code on Wages Bill, 2017. ",10/8/2017,"Ahluwalia Shri S.S.,Premachandran Shri N.K.,Premachandran Shri N.K.,Dattatreya Shri Bandaru,Dattatreya Shri Bandaru","Exploitation,Gratuity,Labour Legislation,Minimum Wage,Wage Policy,Bonus"
"Introduction of the Financial Resolution and Deposit Insurance Bill, 2017. ",10/8/2017,"Meghwal Shri Arjun Ram ,Meghwal Shri Arjun Ram ,Chowdhury Shri Adhir Ranjan","Bank Deposits,Banking Systems,Consumer Protection,Dispute Settlement"
"Motion regarding reference of Financial Resolution and Deposit Insurance Bill, 2017 to Joint Committee.",10/8/2017,"Meghwal Shri Arjun Ram ,Teacher Smt. P.K.Sreemathi,Ahluwalia Shri S.S.,Premachandran Shri N.K.,Roy Prof. Saugata,Mahtab Shri Bhartruhari",
"Discussion on the motion for consideration of the Indian Institute of Petroleum and Energy Bill, 2017. ",4/8/2017,"Chautala Shri Dushyant,Mann Shri Bhagwant,Kumar Dr. Arun,Patil Shri A.T. (Nana),Hari Shri G.,Naik Prof. Seetaram Ajmeera,Kushawaha Shri Ravindra,Chandumajra Shri Prem Singh,Lakhanpal Shri Raghav,Premachandran Shri N.K.,Roy Prof. Saugata,Kumar Shri Kaushalendra,Satpathy Shri Tathagata,Biju Shri Parayamparanbil Kuttappan,De(Nag) Dr. (Smt.) Ratna,Subbareddy Shri Yerram Venkata,Ranjan (Pappu Yadav) Shri Rajesh,Sawant Shri Arvind Ganpat,Chakravarty Smt. Bijoya,Rao (Avnthi) Shri Muthamsetti Srinivasa,Kambhampati Dr. Hari Babu,Yadav Shri Jay Prakash Narayan,Chowdhury Shri Adhir Ranjan,PRADHAN SHRI DHARMENDRA ,PRADHAN SHRI DHARMENDRA ","Admission,Agricultural Sector,Capitation Fee,Educational Institutions,Employment Opportunities,Gross Domestic Product,Manpower Planning,Petrochemical Industry,Petroleum Industry,Petroleum Products,Quality Education,Research and Development,Subsidies,Curriculum Development,Liquified Petroleum Gas (LPG),Renewable Energy,Ujjawala Yojana"
"Discussion on the motion to consider National Bank for Agriculture and Rural Development (Amendment) Bill, 2017 (Discussion Concluded and Bill Passed).",3/8/2017,"Yadav Shri Laxmi Narayan,Gangwar Shri Santosh Kumar,Gangwar Shri Santosh Kumar,Kaushik Shri Ramesh Chander,Mann Shri Bhagwant,Kumar Dr. Arun,K. Shri Parasuraman,Sanghamita Dr.(Smt.) Mamtaz,Kirtikar Shri Gajanan Chandrakant,Velagapalli Dr. Vara Prasadarao,Raghavan Shri M. K.,Premachandran Shri N.K.,Reddy Shri Konda Vishweshwar,Ghubaya Shri Sher Singh,Mani Shri Jose K.,Rai Shri Prem Das,Kumar Shri Kaushalendra,Ajmal Maulana Badruddin,Mahtab Shri Bhartruhari,Chaudhury Shri Jitendra,Antony Shri Anto ,Ali Shri Idris,Bidhuri Shri Ramesh,Sahu Shri Lakhan Lal,Maganti Shri Murali Mohan,Pala Shri Vincent H,Birla Shri Om,Kashyap Shri Virender,Tasa Shri Kamakhya Prasad,Yadav Shri Jay Prakash Narayan,","Agrarian Reforms,Agricultural Credit,Agricultural Sector,Animal Husbandry,Bank Loans,Chemical Fertilizers,Financial Aid,Financial Institutions,Gross Domestic Product,Irrigation,NABARD,Regional Rural Banks,Road Construction,Rural Development,Subsidies,Water Conservation,Modernisation,Agricultural Growth,Remunerative Prices,Dams,Small Scale Industries (SSI),Reserve Bank of India (RBI),Infrastructure Development,Employment Generation,Loan Waiving,Drainage System,Unemployed Youth,Small and Marginal Farmers,Farmers' Welfare,Self-help Groups,Nationalized Bank,Agricultural Loan,Pradhan Mantri Fasal Bima Yojana,Banking Institutions"
"Introduction and passing of the Appropriation (No. 4) Bill, 2017. ",1/8/2017,JAITLEY SHRI ARUN,
"Introduction and passing of the Appropriation (No. 3) Bill, 2017. ",1/8/2017,JAITLEY SHRI ARUN,
"Introduction of the Punjab Municipal Corporation Law (Extension to Chandigarh) Amendment Bill, 2017. ",31-07-2017,JAITLEY SHRI ARUN,
"Introduction of  Integrated Goods and Services Tax (Extension to Jammu and Kashmir) Bill, 2017. ",31-07-2017,JAITLEY SHRI ARUN,
"Introduction of Public Premises (Eviction of Unauthorised Occupants) Amendment Bill, 2017. ",31-07-2017,Rao Shri Inderjit Singh,Government Accommodation
"Further discussion on the motion for consideration of the Indian Institutes of Management Bill, 2017 moved by Shri Prakash Javadekar on the 27th July, 2017 (Discussion Concluded and Bill Passed). ",28-07-2017,"Singh Dr. Satya Pal,Sanghamita Dr.(Smt.) Mamtaz,Meena Shri Harish Chandra,Mahajan Smt. Poonam ,Mahadik Shri Dhananjay Bhimrao,Reddy Shri A.P. Jithender,Satav Shri Rajeev Shankarrao,Premachandran Shri N.K.,Ajmal Shri Sirajuddin,Solanki Dr. Kirit Premjibhai,Roy Prof. Saugata,Rai Shri Prem Das,Pradhan Shri Nagendra Kumar,Kumar Shri Kaushalendra,Hooda Shri Deepender Singh,Rajesh Shri M. B.,Basheer Shri E. T. Mohammed,Bidhuri Shri Ramesh,Pandula Dr. Ravindra Babu ,Sawant Shri Arvind Ganpat,Kambhampati Dr. Hari Babu,Tharoor Dr. Shashi,Javadekar Shri Prakash,Javadekar Shri Prakash","Comptroller and Auditor-General (CAG),Educational Institutions,Educational Reforms,Fees,Higher Education,Industrial Research,Quality Education,Recruitment,Research and Development,Reservation Policy,Rural Areas,Scholarships,Students,Technical Education,Tribal Areas,Corruption,Appointment,Scheduled Castes (SCs),Scheduled Tribes (STs),Indian Institute of Technology,Indian Institute of Management(IIM),Campus Placement,Common Admission Test (CAT)"
