Title,Date,Participants,Ref.Keywords
"Introduction of the Right to Disconnect Bill, 2018. ",28-12-2018,Sule Smt. Supriya Sadanand,"Employees,Personal Life"
"Introduction of the Tuberculosis (Prevention and Eradication) Bill, 2018. ",28-12-2018,Sule Smt. Supriya Sadanand,"Disease Eradication,Primary Health Centres,Tobacco"
"Introduction of the Gender Sensitization (Training and Education) Bill, 2018. ",28-12-2018,Sule Smt. Supriya Sadanand,"Girl Child,Girl Education"
"Introduction of the National Food Security (Amendment) Bill, 2018 (Amendment of section 2, etc)</span></i><span lang=EN-GB style=''font-size:18.0pt''>. ",28-12-2018,Pal Shri Jagdambika,"Starvation,Nutritious Food"
"Introduction of the Information Technology (Amendment) Bill, 2018 <i>(Omission of section 66A)</i>. ",28-12-2018,Pal Shri Jagdambika,
"Introduction of the Armed Forces Law (Amendment) Bill, 2018 <i>(Amendment of section 45 etc.)</i>. ",28-12-2018,Pal Shri Jagdambika,"Recruitment,Sexual Orientation"
"Introduction of the Disaster Management (Amendment) Bill, 2018 <i>(Insertion of new section 46A)</i>. ",28-12-2018,Tharoor Dr. Shashi,"Financial Aid,Rehabilitation,Reconstruction"
"Introduction of the Freedom of Literature Bill, 2018. ",28-12-2018,Tharoor Dr. Shashi,"Freedom of Expression,Literacy Freedom"
"Introduction of the Sports (Online Gaming and Prevention of Fraud) Bill, 2018. ",28-12-2018,Tharoor Dr. Shashi,"Online Games,Fraudulent Practice"
"Introduction of the Womenâ€™s Sexual, Reproductive and Menstrual Rights Bill, 2018. ",28-12-2018,Tharoor Dr. Shashi,"Foeticide,Gender Discrimination"
"Introduction of the Supreme Court, High Courts and District Courts (Use of Official Languages) Bill, 2018. ",28-12-2018,Shetty Shri Gopal Chinayya,"Hindi Language,Official Languages,Sanskrit Language"
"Introduction of the Constitution (Amendment) Bill, 2018<i> (Omission of article 44, etc.)</i>. ",28-12-2018,Shetty Shri Gopal Chinayya,Uniform Civil Code
"Introduction of the Pineapple Board Bill, 2018. ",28-12-2018,George Shri (Adv.) Joice,"Agricultural Sector,Export Promotion"
"Introduction of the Jackfruit Board Bill , 2018. ",28-12-2018,George Shri (Adv.) Joice,"Agricultural Sector,Export Promotion"
"Introduction of the Farmers (Guaranteed Income and Welfare) Bill, 2018. ",28-12-2018,George Shri (Adv.) Joice,Farmers' Welfare
"Introduction of the Pepper Growers (Welfare) Bill, 2018. ",28-12-2018,George Shri (Adv.) Joice,"Agricultural Sector,Medicinal Plants,Welfare Measures"
"Introduction of the Industrial Employment and Environmental Protection Bill, 2018. ",28-12-2018,Gandhi Dr. Dharam Vira,"Employment,Environmental Pollution,Industrial Development,Social Justice"
"Introduction of the Indian Penal Code (Amendment) Bill, 2018 <i>(Amendment of section 171 etc.)</i>. ",28-12-2018,Gandhi Dr. Dharam Vira,Compensations
"Introduction of the Abolition of Begging and Rehabilitation of Beggars Bill, 2018. ",28-12-2018,Patil Shri Shivaji Adhalrao,Social Security
"Introduction of the Womenâ€™s (Reservation in Workplace) Bill, 2018. ",28-12-2018,Patil Shri Shivaji Adhalrao,"Women Empowerment,Women's Reservation"
"Introduction of the Free and Compulsory Primary, Secondary, Higher and Technical Education Bill, 2018. ",28-12-2018,Patil Shri Shivaji Adhalrao,"Educational Systems,Facilities"
"Introduction of the Motor Vehicles (Amendment) Bill, 2018 <i>(Insertion of new section 207A)</i>. ",28-12-2018,Sonkar Shri Vinod Kumar,
"Introduction of the Anganwadi Workers (Regularisation of Service and Welfare) Bill, 2018. ",28-12-2018,Premachandran Shri N.K.,"Integrated Child Development Services (ICDS),Honorarium,Job Security"
"Introduction of the Mahatma Gandhi National Rural Employment Guarantee (Amendment) Bill, 2018<i>    (Amendment of section 3, etc.)</i>. ",28-12-2018,Premachandran Shri N.K.,"Employment,Social Security,Wages"
"Introduction of the ASHA Workers (Regularisation of Service and Other Benefits) Bill, 2018.",28-12-2018,Premachandran Shri N.K.,"Health Services,Honorarium,Job Security"
"Introduction of the Constitution (Amendment) Bill, 2018 <i>(Amendment of article 142)</i>. ",28-12-2018,Mahtab Shri Bhartruhari,
"Introduction of the Code of Civil Procedure (Amendment) Bill, 2018<i> (</i>Substitution of new sections 35A and 35B). ",28-12-2018,Mahtab Shri Bhartruhari,"Compensations,Judicial Delay"
"Introduction of the Employment Agencies (Regulation) Bill, 2018. ",28-12-2018,Jena Shri Rabindra Kumar,"Apprenticeship,Social Security"
"Introduction of the Code of Criminal Procedure (Amendment) Bill, 2018<i> (Amendment of section 160)</i>. ",28-12-2018,Jena Shri Rabindra Kumar,
"Introduction of the Indecent Representation of Women (Prohibition) Amendment Bill, 2018 <i>(Insertion of new Chapter IIIA)</i>. ",28-12-2018,Jena Shri Rabindra Kumar,"Obscene Materials,Punishments"
"Introduction of the Industrial Disputes (Amendment) Bill, 2018 <i>(Amendment of section 7, etc.) </i> ",28-12-2018,Jena Shri Rabindra Kumar,"Qualifications,Appointment"
